latitude,longitud,Aguada,Cenote27 pasos,Cenote 4 Bocas,Cenote 7 Bocas,Cenote Aak Kimin,Cenote de las Abejas,Cenote Akantum,Cenote Actun Chac,Cenote Actun Gongora,Cenote Actun Ha,Cenote Actun Kaua,Cenote Actun Ko,Cenote Actun Okobichen,Cenote Actun Xpukil,Cenote Aerolito,Cenote Agua Azul,Cenote Aka Chen,Cenote Aktun Chen,Cenote Azul,Cenote Azul.1,Cenote Bang,Cenote de Bolchen,Cenote Bolonchojol,Cenote Buya,Cenote Calavera,Cenote Calchuhuim,Cenote Calchum,Cenote de Cantemo,Cenote CarWash,Cenote Casa Cenote,Cenote Cervera,Cenote Chaak Mol,Cenote Chac Sikiin,Cenote Chacsinic-che,Cenote Chan Hoch,Cenote Chan Hol,Cenote Chelentun,Cenote Chen Ha 1,Cenote Chen Ha 2,Cenote Chen Mul,Cenote Chihuan,Cenote Chiuoh,Cenote Chun Kapoc,Cenote Ciruak,Cenote Crustacea,Cenote de la Culebra,Cenote Cuxtal,Cenote de la Paca,Cenote Dzilamway,Cenote en Cabanas Arrecife,Cenote en Carrillo Puerto,Cenote en Hemingway,Cenote en Kikil,Cenote en km 128,Cenote en km 129,Cenote en San Luis Tuk,Cenote en Tohil,Cenote Escondido,Cenote Esqueleto,Cenote G,Cenote Halal,Cenote Homun,Cenote Hubicu,Cenote de Huolpoch,Cenote de Juan Coh,Cenote Kaab,Cenote Kaape Ha,Cenote Kabahchen,Cenote Kambul,Cenote de Kankirixche,Cenote del Mar,Cenote Mayan Blue,Cenote Mojarra,Cenote Mukuyche,Cenote Muknal,Cenote Mukuyche,Cenote Nahach Wennen Ha,Cenote Najarone (Cristal),Cenote Noc Ac,Cenote Noc Ac.1,Cenote Nohchen,Cenote Nohoch Nah Chih,Cenote Odyssey,Cenote Orizaba,Cenote Oxola,Cenote Papacal,"Cenote Pinos, de los",Cenote Piste (Yokdzonot),Cenote Ponderosa 1,Cenote Ponderosa 2,"Cenote Ruinas, de las",Cenote Sabakha Sacalum,Cenote Sabalo,Cenote Sahcaba,Cenote Sambula,Cenote Sambulha Merida,Cenote Sambulha Motul,Cenote Sambulha Valladolid,Cenote San Antonio Chuch,"Cenote San Diego, de",Cenote San Eduardo,Cenote San Ignacio,"Cenote San Jose, de",Cenote San Juan,Cenote San Marcos,"Cenote San Martin, de",Cenote Santo Domingo (Dos Ojos),"Cenote Santo Domingo, de",Cenote Scan Yui,Cenote Sihunchen,Cenote Sisal,Cenote Sodzil Merida,Cenote Sodzil Tizimin,"Cenote Telchaquillo, de",Cenote Tikimul,Cenote Tixcancal,"Cenote Tos Virlol, de",Cenote Tos Virol,Cenote Tres Potrillos ,Cenote Tres Potrillos,Cenote Tza Itza,Cenote Ucil,Cenote Vaca Ha,Cenote X-ebiz,Cenote Xcan-ha,Cenote Xix,Cenote Xkeken,Cenote Xlakah,Cenote Xnaput,"Cenote Xtacabiha, de",Cenote Xtojil,Cenote Xtolok,Cenote Xtezeal,Cenote Xunaan Ha,Cenote Ya ax ek,Cenote Yaxbacabtun,Cenote Yaxchen,Cenote Yoxdzonot Yax,Cenote Yuncu,Cenote Zaci,Cenote Zaci (Santa Ana),Cenote Zacil,Cenote Zapata,Cheuman,Cienega,Cueva Amil,Cueva Chac Mol,Cueva Choj Ha,Cueva Coop,Cueva de Balam Canche,Cueva de Hoctun,Cueva de San Dimas,Cueva de San Isidro,Cueva de Santa Elena,Cueva de Thompson,Cueba del Fermin,Cueva del Pochote,Cueva en Punta Laguna,Cueva en Tres Reyes,Cueva Kaua,Cueva Luchil,Cueva Oxolodt,Cueva Sodzil,Cueva Spukil,Cueva Xconsacab,Cueva Yunchen,Cenote Dsonot-ila,Grand Cenote,Gruta Tza-Ma,Grutas de Balankanche,Grutas de Monte Bravo,Grutas de San Antonio,Grutas de Santa Maria,Grutas de Tzab-Nah (Dzab),Grutas de Xtacumbilxunam,Grutas en Rancho Alegre,Kumich,Noh Aktun,Pozo 1 de San Domingo,Pozo 2 de San Domingo,Pozo cerca de Presumida,Pozo Chaak,Pozo Chun Kapoc,Pozo de San Martin,Pozo de Santa Elena,Pozo de Puxpilik,Pozo Temozon,Pozo Ticuch,Rancho Antonio Kanah,Sistema Chankanaab (Quebrada Sist),Tza Ujun Kat,Well,Well (Hacienda Calcehtok),Well (iron mill at Oxkutzcab),Alamo,Yax-Ha,Dzombakal,Dzonotila,Yaal-Utzil,Kanun,Siil,Cenote Zapote,Caye Chapel,George Gaberel's Cave
19.85,-88.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.41,-87.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.41,-87.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.04,-87.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.16,-88.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4,-87.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.65,-89.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.8,-88.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.19,-89.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
