CENOTES PY,latitude,longitud,Amblyopsus spelaea,Astyanax fasciatus,Cichlasoma urophthalmus,Carassius auratus,Chaetodon ocellatus,Poecilia velifera,Rhamdia guatemalensis,Lutjanus apodus,Mayaheros urophthalmus,Ophisternon infernale,Ogilbia pearsei,Petenia splendida,Sphyraena barracuda,Typhlias pearsei,Gambusia yucatana,Gambusia affinis,Poecilia mexicana,Poecilia reticulata,Xiphophorus helleri,Typhlatya spp.,Typhlatya mitchelli,Typhlatya miravetensis,Ayta spp.,Caecidotea spp,Lirceus spp.,Epilobocera sinuatifrons,Gammarus spp.,Hyalella spp,Palaemon spp.,Pseudotelphusa mexicana,Minuca vocator,Neocaridina spp.,Trichorhina,Procambarus aerolitus,Procambarus clarkii,Macrobrachium spp,Cymadusa sp.,Xiphocaridinella spp.,Craspedacusta sowerbii,Craspedacusta aerolitica,Craspedacusta brevinema,Limnocnida aerolitica,Limnocnida tanganyicae,Moerisia brevis,Moerisia gemmata,Pomacea spp,Belostomatidae spp,Spongillidae spp,Planariidae spp,Rotifera spp,Ceratophyllum spp,Nymphaea spp,Cabomba spp,Chara spp,Hydrocotyle spp,Pseudomonas spp,Bacillus spp,Aspergillus spp,Penicillium spp,Oreaster reticulatus,Luidia clathrata,Echinaster spinulosus,Echinometra viridis,Lytechinus variegatus,Strongylocentrotus purpuratus,Ophiura ophiura,Ophiactis savignyi,Amphiura filiformis,Holothuria floridana,Holothuria mexicana,Synapta maculata,Thyone briareus
Homun,20.74,-89.29,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kampepen,20.79,-89.26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsunul,20.74,-89.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xlakah,21.09,-89.67,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mucuyché,20.62,-89.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaxbacaltun,20.71,-89.27,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Xbatun,20.67,-89.77,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yokdzonot,20.71,-88.73,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 El Corchito,20.71,-89.28,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 Zaci,20.69,-88.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
