latitude,longitud,Xibalbanus tulumensis,Speleonectes cokei,Xibalbanus fuchscockburni,Argulus chromidis,Argulus rhamdiae ,Argulus cenotae,Nitokra pusilla pusilla,Nitokra simplex,Nitokra typica typica ,Nitokra subterranea,Eucyclops sp.,Brattstromia longicaudata,Eucyclops serrulatus serrulatus,Tropocyclops prasinus prasinus,Macrocyclops sp.,Macrocyclops albidus albidus,Mesocyclops sp.,Mesocyclops leuckarti leuckarti ,Mesocyclops chaci ,Mesocyclops yutsil,Thermocyclops tenuis,Paracyclops sp.,Paracyclops fimbriatus fimbriatus,Attheyella (Ryloviella) pilosa,Mastigodiaptomus albuquerquensis,Leptodiaptomus novamexicanus,Moraria (Moraria) cristata,Balinella yucatanensis,Exumella tsonot,Diacyclops chakan,Diacyclops puuc ,Halicyclops cenoticola,Prehendocyclops abbreviatus,Prehendocyclops boxshalli,Prehendocyclops monchenkoi,Neocypridopsis inaudita ,Cypridopsis mexicana,Cypridopsis niagranensis,Cypridopsis vidua,Neocypridopsis yucatanensis,Candonocypris serratomarginata,Metacypris americana,Physocypria xanabanica,Stenocypris malcolmsoni,Strandesia intrepida,Darwinula stevensoni,Spelaeoecia mayan,Humphreysella mexicana,Tulumella unidens,Ceriodaphnia cornuta,Daphnia galeata,Daphnia hyalina,Daphnia longispina,Daphnia pulex,Moina affinis,Simocephalus serrulatus ,Antromysis cenotensis,Stygiomysis holthuisi ,Stygiomysis cokei,Stygiomysis cf. Holthuisi,Bahadzia bozanici ,Bahadzia setodactylus,Mayaweckelia cenoticola,Mayaweckelia yucatanensis,Tuluweckelia cernua,Hyalella azteca,Asellus sp.,Caecidotea sp.,Metacirolana mayana,Cirolana (Anopsilana) yucatana,Creaseriella anops,Haptolana bowmani,Haptolana belizana,Haptolana yunca --Cirolana yunca,Yucatalana robustispina,Janicea antiguensis,Parhippolyte sterreri,Calliasmata nohochi,Barbouria cubensis,Barbouria yanezi,Agostocaris bozanici,Yagerocaris cozumel,Triacanthoneus chapelianus,Triacanthoneus akumalensis,Procaris mexicana,Jonga serrei,Typhlatya dzilamensis,Typhlatya campecheae,Typhlatya mitchelli,Typhlatya pearsei,Typhlatya sp.,Typhlatya utilaensis,Macrobrachium catonium,Creaseria morleyi,Typhliasina pearsei,Ophisternon infernale ,Copidaster cavernicola,Eucidaris tribuloides ,Lytechinus variegatus,Hermodice carunculata,Capitella cf. Capitata,Capitella aciculata,Heteromastus filiformis,Paradoneis lyra,Hermodice carunculata.1,Ophryotrocha sp. A.,Stenoninereis martini,Erinaceusyllis centroamericana,Salvatoria sp. ,Exogone (Paraexogone) sp. ,Syllis prolifera,Syllis maryae,Teinostoma brankovitsi
19.85,-88.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.41,-87.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.41,-87.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.04,-87.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.16,-88.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.4,-87.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.65,-89.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.8,-88.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.19,-89.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
